script,keep_only_speaker_gold_clusters,remove_singleton_gold_clusters,use_speaker_sep,keep_person_sys_clusters,keep_speaker_sys_clusters,heuristic_speaker_resolution,heuristic_pronoun_resolution,min_speaker_sim,max_speaker_merges,muc_R,muc_P,muc_F1,bcubed_R,bcubed_P,bcubed_F1,ceafe_R,ceafe_P,ceafe_F1,conll2012_R,conll2012_P,conll2012_F1,nec_F1,nec_per_chains_missed,nec_name_F1,nec_pronoun_F1,nec_nominal_F1
basterds,True,True,True,False,True,False,False,0.6,3,0.7150837988826816,0.7766990291262136,0.7446189645142525,0.2643962206374371,0.5658715619630814,0.3604001154437872,0.5989495733075919,0.19465861132496737,0.2938243189810828,0.5261431976092369,0.5124097341380874,0.46628113297970747,0.5989495733075919,0.0,0.4845267874755548,0.6703689800976826,0.27115384615384613
basterds,True,False,False,True,False,False,False,0.6,3,0.6435754189944134,0.7741935483870968,0.7028676021964613,0.2018048215014167,0.4516061893620819,0.27895552697439574,0.4511521006059998,0.16757078022508565,0.24437405449491656,0.4321774470339433,0.4644568393247548,0.4087323945552579,0.4511521006059998,23.076923076923077,0.4457687785058239,0.36351540772375013,0.2617152961980548
basterds,True,False,True,True,False,False,False,0.6,3,0.6860335195530727,0.7580246913580246,0.7202346041055718,0.25972940384019133,0.5339513043500288,0.3494676197302446,0.5421730165310351,0.15322280901964036,0.23892370220011716,0.49597864664143304,0.48173293490923125,0.4362086420119779,0.5421730165310351,7.6923076923076925,0.47427037721914456,0.5421638518925543,0.27115384615384613
basterds,True,True,False,True,False,False,False,0.6,3,0.6435754189944134,0.7741935483870968,0.7028676021964613,0.2018048215014167,0.4516061893620819,0.27895552697439574,0.4511521006059998,0.16757078022508565,0.24437405449491656,0.4321774470339433,0.4644568393247548,0.4087323945552579,0.4511521006059998,23.076923076923077,0.4457687785058239,0.36351540772375013,0.2617152961980548
basterds,True,True,True,True,False,False,False,0.6,3,0.6860335195530727,0.7580246913580246,0.7202346041055718,0.25972940384019133,0.5339513043500288,0.3494676197302446,0.5421730165310351,0.15322280901964036,0.23892370220011716,0.49597864664143304,0.48173293490923125,0.4362086420119779,0.5421730165310351,7.6923076923076925,0.47427037721914456,0.5421638518925543,0.27115384615384613
basterds,True,False,False,True,True,False,False,0.6,3,0.6346368715083799,0.8255813953488372,0.7176247631080227,0.20151802742796718,0.4813576575043246,0.28409928122491707,0.4511521006059998,0.2932488653938999,0.35545317017442407,0.42910233318078234,0.5333959727490205,0.45239240483578796,0.4511521006059998,23.076923076923077,0.4457687785058239,0.36351540772375013,0.2617152961980548
basterds,True,False,True,True,True,False,False,0.6,3,0.6837988826815642,0.855944055944056,0.760248447204969,0.2596748081239896,0.6146311113594292,0.36509924581912,0.5421730165310351,0.2819299685961383,0.3709604849949188,0.4952155691121963,0.5841683786332078,0.4987693926730026,0.5421730165310351,7.6923076923076925,0.47427037721914456,0.5421638518925543,0.3480769230769231
basterds,True,True,False,True,True,False,False,0.6,3,0.6346368715083799,0.8255813953488372,0.7176247631080227,0.20151802742796718,0.4813576575043246,0.28409928122491707,0.4511521006059998,0.2932488653938999,0.35545317017442407,0.42910233318078234,0.5333959727490205,0.45239240483578796,0.4511521006059998,23.076923076923077,0.4457687785058239,0.36351540772375013,0.2617152961980548
basterds,True,True,True,True,True,False,False,0.6,3,0.6837988826815642,0.855944055944056,0.760248447204969,0.2596748081239896,0.6146311113594292,0.36509924581912,0.5421730165310351,0.2819299685961383,0.3709604849949188,0.4952155691121963,0.5841683786332078,0.4987693926730026,0.5421730165310351,7.6923076923076925,0.47427037721914456,0.5421638518925543,0.3480769230769231
basterds,False,False,False,False,False,True,False,0.6,3,0.8150470219435737,0.630048465266559,0.7107061503416857,0.3321395682323397,0.3256400930856798,0.32885772022776183,0.6682696337954745,0.0826354923510533,0.14708326868225755,0.6051520746571294,0.3461080169010973,0.39554904641723504,0.6613156344203512,5.0,0.6098318465836575,0.6039737110914549,0.32079346092503985
basterds,False,False,True,False,False,True,False,0.6,3,0.8369905956112853,0.6433734939759036,0.7275204359673024,0.48652856206154826,0.3821134207173674,0.4280453784453042,0.6753792173597776,0.08927426436364877,0.15770276141395823,0.6662994583442038,0.37158705968563993,0.43775619194218834,0.6911965894742338,5.0,0.5598322341834421,0.7046460382094841,0.36114945302445306
basterds,False,True,False,False,False,True,False,0.6,3,0.8150470219435737,0.630048465266559,0.7107061503416857,0.3321395682323397,0.3256400930856798,0.32885772022776183,0.6682696337954745,0.0826354923510533,0.14708326868225755,0.6051520746571294,0.3461080169010973,0.39554904641723504,0.6613156344203512,5.0,0.6098318465836575,0.6039737110914549,0.32079346092503985
basterds,False,True,True,False,False,True,False,0.6,3,0.8369905956112853,0.6433734939759036,0.7275204359673024,0.48652856206154826,0.3821134207173674,0.4280453784453042,0.6753792173597776,0.08927426436364877,0.15770276141395823,0.6662994583442038,0.37158705968563993,0.43775619194218834,0.6911965894742338,5.0,0.5598322341834421,0.7046460382094841,0.36114945302445306
basterds,False,False,False,False,True,True,False,0.6,3,0.7251828631138976,0.7660044150110376,0.7450348899624262,0.29300860124656386,0.38277022144162137,0.3319280315334682,0.3787837814835352,0.18150056196086062,0.24540921053862846,0.46565841528133217,0.4434250661378399,0.4407907106781743,0.4356013487060655,30.0,0.42233184658365763,0.468679593444396,0.27079346092503986
basterds,False,False,True,False,True,True,False,0.6,3,0.7481713688610241,0.7937915742793792,0.7703066164604627,0.451403553304683,0.47529936442495946,0.46304337211006336,0.4035249846359797,0.21583894527040773,0.2812446862614404,0.5343666356005622,0.4949766279915821,0.5048648916106555,0.4640537323313766,30.0,0.38126080561201353,0.6137369473003932,0.2778161196911197
basterds,False,True,False,False,True,True,False,0.6,3,0.7251828631138976,0.7660044150110376,0.7450348899624262,0.29300860124656386,0.38277022144162137,0.3319280315334682,0.3787837814835352,0.18150056196086062,0.24540921053862846,0.46565841528133217,0.4434250661378399,0.4407907106781743,0.4356013487060655,30.0,0.42233184658365763,0.468679593444396,0.27079346092503986
